ADK,PADK,Adak,51.88358278,-176.64248222,1,medium_airport
AKK,PAKH,Akhiok,56.93869083,-154.18255556,1,small_airport
Z13,PFZK,Akiachak,60.91380972,-161.49332917,0,small_airport
AKI,PFAK,Akiak,60.90289722,-161.23058333,1,small_airport
7AK,PAUT,Akutan,54.14461111,-165.60410833,1,small_airport
AUK,PAUK,Alakanuk,62.68305556,-164.72219444,0,small_airport
Z25,,Tripod,59.26314583,-158.55775528,0,small_airport
5A8,,Aleknagik /New,59.28255556,-158.61786667,0,medium_airport
6A8,PFAL,Allakaket,66.55183333,-152.62216667,1,small_airport
AFM,PAFM,Ambler,67.10620056,-157.85715583,1,small_airport
80A,,American Creek,65.10398194,-151.17723333,0,small_airport
AKP,PAKP,Anaktuvuk Pass,68.13361111,-151.74333333,1,medium_airport
A13,,Bold,61.34133889,-148.99888056,0,small_airport
ANC,PANC,Ted Stevens Anchorage Intl,61.17408472,-149.9981375,1,small_airport
MRI,PAMR,Merrill Fld,61.21354639,-149.84470944,1,medium_airport
ANI,PANI,Aniak,61.58140528,-159.54529806,1,small_airport
ANV,PANV,Anvik,62.64733333,-160.19005556,1,medium_airport
ARC,PARC,Arctic Village,68.11466944,-145.57941528,1,medium_airport
AKA,PAAK,Atka,52.22058333,-174.20619444,1,small_airport
4A2,,Atmautluak,60.86788889,-162.27427778,0,small_airport
ATK,PATQ,Atqasuk Edward Burnell Sr Meml,70.46711111,-157.43566667,1,medium_airport
BRW,PABR,Wiley Post-Will Rogers Meml,71.28486111,-156.76858333,1,small_airport
BTI,PABA,Barter Island,70.11311111,-143.65361111,1,small_airport
Z47,,Engstrom Fld,64.67909028,-165.29920139,0,small_airport
Z48,,Bear Creek 3,63.57160917,-156.14405056,0,small_airport
Z52,,Johnsons Landing,56.03668556,-160.26620528,0,small_airport
WBQ,PAWB,Beaver,66.36222222,-147.4065,1,small_airport
BET,PABE,Bethel,60.77855556,-161.83716667,1,small_airport
BTT,PABT,Bettles,66.91394444,-151.52905556,1,small_airport
BGQ,PAGQ,Big Lake,61.53468306,-149.81254833,1,small_airport
Z91,,Birch Creek,66.27447222,-145.81819444,0,small_airport
BCV,PABV,Birchwood,61.4160875,-149.50830978,0,small_airport
5BK,,Black Rapids,63.53514639,-145.86088611,0,small_airport
BYA,,Boundary,64.07830278,-141.113375,0,small_airport
KTS,PFKT,Brevig Mission,65.33133333,-166.46572222,1,small_airport
BVK,PABL,Buckland,65.98155556,-161.14913889,1,small_airport
TTW,PATW,Cantwell,63.39120472,-148.95561639,0,seaplane_base
CEM,PACE,Central,65.57394444,-144.78088889,1,small_airport
CIK,PACI,Chalkyitsik,66.64502778,-143.73988889,1,small_airport
5CD,,Chandalar Shelf,68.06543944,-149.57973917,0,small_airport
WCR,PALR,Chandalar Lake,67.50451667,-148.48322222,0,small_airport
